Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,Noname,ColorLev,TimeTrial,BlockNumber,noname,noname,noname,noname,noname,TrialTypeDesignation
54.0,3440.152,3440.657,0.0,0.0,0.0,100.0,,,,,54.0,1.25,3.75,54.0,,,0.0,,1.0,,,,,,1.0
55.0,3442.536,3443.039,0.0,0.0,0.0,100.0,,,,,55.0,1.0,3.25,55.0,,,0.0,,1.0,,,,,,1.0
56.0,3444.668,3445.172,0.0,0.0,0.0,100.0,,,,,56.0,3.25,3.5,56.0,,,0.0,,1.0,,,,,,1.0
57.0,3446.927,3447.431,0.0,0.0,0.0,100.0,,,,,57.0,1.25,2.0,57.0,,,0.0,,1.0,,,,,,1.0
58.0,3448.435,3448.938,0.0,0.0,0.0,100.0,,,1.0,,58.0,1.75,3.25,58.0,,,1.0,,1.0,,,,,,1.0
59.0,3450.568,3451.07,0.0,0.0,0.0,100.0,,,,,59.0,2.25,3.5,59.0,,,0.0,,1.0,,,,,,1.0
60.0,3452.824,3453.329,0.0,0.0,0.0,100.0,,,1.0,,60.0,1.5,1.75,60.0,,,1.0,,1.0,,,,,,1.0
61.0,3454.208,3454.712,0.0,0.0,0.0,100.0,,,,,61.0,1.25,1.25,61.0,,,0.0,,1.0,,,,,,1.0
62.0,3455.342,3455.846,0.0,0.0,0.0,100.0,,,1.0,,62.0,3.5,2.5,62.0,,,1.0,,1.0,,,,,,1.0
63.0,3457.1,3457.604,0.0,0.0,0.0,100.0,,,1.0,,63.0,2.5,1.25,63.0,,,1.0,,1.0,,,,,,1.0
64.0,3458.233,3458.736,0.0,0.0,0.0,100.0,,,,,64.0,3.5,2.75,64.0,,,0.0,,1.0,,,,,,1.0
65.0,3460.115,3460.619,0.0,0.0,0.0,100.0,,,1.0,,65.0,2.0,2.5,65.0,,,1.0,,1.0,,,,,,1.0
66.0,3461.874,3462.378,0.0,0.0,0.0,100.0,,,1.0,,66.0,2.0,1.0,66.0,,,1.0,,1.0,,,,,,1.0
67.0,3462.882,3463.385,0.0,0.0,0.0,100.0,,,1.0,,67.0,1.5,1.25,67.0,,,1.0,,1.0,,,,,,1.0
68.0,3464.015,3464.519,0.0,0.0,0.0,100.0,,,,,68.0,1.5,1.5,68.0,,,0.0,,1.0,,,,,,1.0
69.0,3465.274,3465.777,0.0,0.0,0.0,100.0,,,,,69.0,2.25,1.0,69.0,,,0.0,,1.0,,,,,,1.0
70.0,3466.281,3466.785,0.0,0.0,0.0,100.0,,,1.0,,70.0,3.5,3.75,70.0,,,1.0,,1.0,,,,,,1.0
71.0,3468.664,3469.168,0.0,0.0,0.0,100.0,,,1.0,,71.0,2.25,2.25,71.0,,,1.0,,1.0,,,,,,1.0
72.0,3470.298,3470.802,0.0,0.0,0.0,100.0,,,,,72.0,2.0,3.5,72.0,,,0.0,,1.0,,,,,,1.0
73.0,3472.557,3473.06,0.0,0.0,0.0,100.0,,,1.0,,73.0,2.0,1.25,73.0,,,1.0,,1.0,,,,,,1.0
74.0,3473.689,3474.192,0.0,0.0,0.0,100.0,,,1.0,,74.0,3.25,2.0,74.0,,,1.0,,1.0,,,,,,1.0
75.0,3475.197,3475.701,0.0,0.0,0.0,100.0,,,1.0,,75.0,1.5,2.0,75.0,,,1.0,,1.0,,,,,,1.0
76.0,3476.706,3477.21,0.0,0.0,0.0,100.0,,,1.0,,76.0,1.25,1.25,76.0,,,1.0,,1.0,,,,,,1.0
77.0,3477.839,3478.342,0.0,0.0,0.0,100.0,,,1.0,,77.0,3.75,3.75,77.0,,,1.0,,1.0,,,,,,1.0
78.0,3480.223,3480.726,0.0,0.0,0.0,100.0,,,1.0,,78.0,2.5,1.0,78.0,,,1.0,,1.0,,,,,,1.0
79.0,3481.231,3481.734,0.0,0.0,0.0,100.0,,,1.0,,79.0,1.5,2.0,79.0,,,1.0,,1.0,,,,,,1.0
80.0,3482.739,3483.242,0.0,0.0,0.0,100.0,,,,,80.0,3.25,1.0,80.0,,,0.0,,1.0,,,,,,1.0
81.0,3483.747,3484.25,0.0,0.0,0.0,100.0,,,,,81.0,1.0,1.5,81.0,,,0.0,,1.0,,,,,,1.0
82.0,3485.005,3485.508,0.0,0.0,0.0,100.0,,,1.0,,82.0,2.75,3.0,82.0,,,1.0,,1.0,,,,,,1.0
83.0,3487.013,3487.516,0.0,0.0,0.0,100.0,,,1.0,,83.0,2.75,2.25,83.0,,,1.0,,1.0,,,,,,1.0
84.0,3488.647,3489.15,0.0,0.0,0.0,100.0,,,,,84.0,2.5,1.75,84.0,,,0.0,,1.0,,,,,,1.0
85.0,3490.029,3490.533,0.0,0.0,0.0,100.0,,,1.0,,85.0,3.0,1.5,85.0,,,1.0,,1.0,,,,,,1.0
86.0,3491.287,3491.791,0.0,0.0,0.0,100.0,,,1.0,,86.0,3.0,1.5,86.0,,,1.0,,1.0,,,,,,1.0
87.0,3492.546,3493.049,0.0,0.0,0.0,100.0,,,,,87.0,2.0,2.75,87.0,,,0.0,,1.0,,,,,,1.0
88.0,3494.428,3494.931,0.0,0.0,0.0,100.0,,,1.0,,88.0,3.25,1.0,88.0,,,1.0,,1.0,,,,,,1.0
89.0,3495.436,3495.94,0.0,0.0,0.0,100.0,,,1.0,,89.0,3.75,3.25,89.0,,,1.0,,1.0,,,,,,1.0
90.0,3497.569,3498.076,0.0,0.0,0.0,100.0,,,1.0,,90.0,2.25,2.25,90.0,,,1.0,,1.0,,,,,,1.0
91.0,3499.207,3499.712,0.0,0.0,0.0,100.0,,,1.0,,91.0,2.25,1.75,91.0,,,1.0,,1.0,,,,,,1.0
92.0,3500.591,3501.094,0.0,0.0,0.0,100.0,,,1.0,,92.0,2.5,2.5,92.0,,,1.0,,1.0,,,,,,1.0
93.0,3502.348,3502.852,0.0,0.0,0.0,100.0,,,1.0,,93.0,3.25,3.25,93.0,,,1.0,,1.0,,,,,,1.0
94.0,3504.482,3504.985,0.0,0.0,0.0,100.0,,,,,94.0,2.75,2.0,94.0,,,0.0,,1.0,,,,,,1.0
95.0,3505.99,3506.494,0.0,0.0,0.0,100.0,,,1.0,,95.0,3.25,2.5,95.0,,,1.0,,1.0,,,,,,1.0
96.0,3507.748,3508.251,0.0,0.0,0.0,100.0,,,1.0,,96.0,2.0,3.75,96.0,,,1.0,,1.0,,,,,,1.0
97.0,3510.131,3510.634,0.0,0.0,0.0,100.0,,,,,97.0,3.5,2.5,97.0,,,0.0,,1.0,,,,,,1.0
98.0,3511.888,3512.391,0.0,0.0,0.0,100.0,,,,,98.0,2.75,2.75,98.0,,,0.0,,1.0,,,,,,1.0
99.0,3513.77,3514.275,0.0,0.0,0.0,100.0,,,1.0,,99.0,1.5,1.75,99.0,,,1.0,,1.0,,,,,,1.0
100.0,3515.154,3515.658,0.0,0.0,0.0,100.0,,,1.0,,100.0,2.25,1.5,100.0,,,1.0,,1.0,,,,,,1.0
101.0,3700.865,3700.869,0.0,0.0,0.0,100.0,,,1.0,,1.0,3.25,1.25,1.0,,,1.0,,2.0,,,,,,2.0
102.0,3701.671,3701.675,0.0,0.0,0.0,100.0,,,1.0,,2.0,2.25,3.5,2.0,,,1.0,,2.0,,,,,,2.0
103.0,3702.477,3702.481,0.0,0.0,0.0,100.0,,,1.0,,3.0,3.25,3.75,3.0,,,1.0,,2.0,,,,,,2.0
