Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,noname,noname,noname,noname,TrialTypeDesignation
65.0,523.449,523.966,0.0,0.0,0.0,100.0,,,0.0,,,45.0,1.75,2.5,45.0,73.1068,0.0,359425.3975,74.3576,2.0,,,,,1.0
66.0,525.234,525.751,0.0,0.0,0.0,100.0,,,1.0,,,46.0,1.25,2.75,46.0,74.8921,1.0,359427.3078,76.2679,2.0,,,,,1.0
67.0,527.136,527.653,0.0,0.0,0.0,100.0,,,1.0,,,47.0,1.75,2.75,47.0,76.7939,1.0,359429.2097,78.1698,2.0,,,,,1.0
68.0,529.038,529.555,0.0,0.0,0.0,100.0,,,0.0,,,48.0,3.0,3.0,48.0,78.6959,0.0,359431.2364,80.1964,2.0,,,,,1.0
69.0,531.073,531.591,0.0,0.0,0.0,100.0,,,0.0,,,49.0,2.25,1.25,49.0,80.7313,0.0,359432.3971,81.3571,2.0,,,,,1.0
70.0,532.225,532.742,0.0,0.0,0.0,100.0,,,0.0,,,50.0,1.5,3.5,50.0,81.8822,0.0,359434.6728,83.6327,2.0,,,,,1.0
71.0,534.51,535.027,0.0,0.0,0.0,100.0,,,1.0,,,51.0,1.25,3.25,51.0,84.168,1.0,359436.8335,85.7935,2.0,,,,,1.0
72.0,536.662,537.179,0.0,0.0,0.0,100.0,,,0.0,,,52.0,2.5,3.75,52.0,86.3201,0.0,359439.2356,88.1956,2.0,,,,,1.0
73.0,539.065,539.582,0.0,0.0,0.0,100.0,,,0.0,,,53.0,1.0,2.25,53.0,88.7226,0.0,359440.8884,89.8484,2.0,,,,,1.0
74.0,540.716,541.233,0.0,0.0,0.0,100.0,,,0.0,,,54.0,1.25,3.75,54.0,90.3741,0.0,359443.2899,92.2499,2.0,,,,,1.0
75.0,543.119,543.636,0.0,0.0,0.0,100.0,,,0.0,,,55.0,1.0,3.25,55.0,92.7765,0.0,359445.442,94.402,2.0,,,,,1.0
76.0,545.271,545.788,0.0,0.0,0.0,100.0,,,0.0,,,56.0,3.25,3.5,56.0,94.9286,0.0,359447.7193,96.6792,2.0,,,,,1.0
77.0,547.556,548.074,0.0,0.0,0.0,100.0,,,0.0,,,57.0,1.25,2.0,57.0,97.2144,0.0,359449.2552,98.2152,2.0,,,,,1.0
78.0,549.091,549.609,0.0,0.0,0.0,100.0,,,1.0,,,58.0,1.75,3.25,58.0,98.7492,1.0,359451.4147,100.3746,2.0,,,,,1.0
79.0,551.243,551.761,0.0,0.0,0.0,100.0,,,0.0,,,59.0,2.25,3.5,59.0,100.9012,0.0,359453.6917,102.6517,2.0,,,,,1.0
80.0,553.529,554.046,0.0,0.0,0.0,100.0,,,1.0,,,60.0,1.5,1.75,60.0,103.187,1.0,359455.1027,104.0627,2.0,,,,,1.0
81.0,554.931,555.448,0.0,0.0,0.0,100.0,,,0.0,,,61.0,1.25,1.25,61.0,104.5884,0.0,359456.2541,105.2141,2.0,,,,,1.0
82.0,556.082,556.599,0.0,0.0,0.0,100.0,,,1.0,,,62.0,3.5,2.5,62.0,105.7394,1.0,359458.0302,106.9901,2.0,,,,,1.0
83.0,557.867,558.384,0.0,0.0,0.0,100.0,,,1.0,,,63.0,2.5,1.25,63.0,107.5245,1.0,359459.1901,108.1501,2.0,,,,,1.0
84.0,559.018,559.535,0.0,0.0,0.0,100.0,,,0.0,,,64.0,3.5,2.75,64.0,108.6757,0.0,359461.0914,110.0514,2.0,,,,,1.0
85.0,560.92,561.437,0.0,0.0,0.0,100.0,,,1.0,,,65.0,2.0,2.5,65.0,110.5776,1.0,359462.8683,111.8283,2.0,,,,,1.0
86.0,562.705,563.222,0.0,0.0,0.0,100.0,,,1.0,,,66.0,2.0,1.0,66.0,112.3628,1.0,359463.9035,112.8635,2.0,,,,,1.0
87.0,563.739,564.257,0.0,0.0,0.0,100.0,,,1.0,,,67.0,1.5,1.25,67.0,113.3972,1.0,359465.0629,114.0229,2.0,,,,,1.0
88.0,564.891,565.408,0.0,0.0,0.0,100.0,,,0.0,,,68.0,1.5,1.5,68.0,114.5483,0.0,359466.3388,115.2988,2.0,,,,,1.0
89.0,566.175,566.692,0.0,0.0,0.0,100.0,,,0.0,,,69.0,2.25,1.0,69.0,115.833,0.0,359467.3736,116.3336,2.0,,,,,1.0
90.0,567.21,567.727,0.0,0.0,0.0,100.0,,,1.0,,,70.0,3.5,3.75,70.0,116.8673,1.0,359469.7829,118.7428,2.0,,,,,1.0
91.0,569.612,570.129,0.0,0.0,0.0,100.0,,,1.0,,,71.0,2.25,2.25,71.0,119.2695,1.0,359471.435,120.395,2.0,,,,,1.0
92.0,571.264,571.781,0.0,0.0,0.0,100.0,,,0.0,,,72.0,2.0,3.5,72.0,120.9213,0.0,359473.712,122.672,2.0,,,,,1.0
93.0,573.549,574.067,0.0,0.0,0.0,100.0,,,1.0,,,73.0,2.0,1.25,73.0,123.207,1.0,359474.8727,123.8327,2.0,,,,,1.0
94.0,574.7,575.218,0.0,0.0,0.0,100.0,,,1.0,,,74.0,3.25,2.0,74.0,124.3581,1.0,359476.3989,125.3589,2.0,,,,,1.0
95.0,576.236,576.752,0.0,0.0,0.0,100.0,,,1.0,,,75.0,1.5,2.0,75.0,125.8928,1.0,359477.9335,126.8934,2.0,,,,,1.0
96.0,577.77,578.287,0.0,0.0,0.0,100.0,,,1.0,,,76.0,1.25,1.25,76.0,127.4279,1.0,359479.0936,128.0536,2.0,,,,,1.0
97.0,578.921,579.438,0.0,0.0,0.0,100.0,,,1.0,,,77.0,3.75,3.75,77.0,128.5789,1.0,359481.4944,130.4544,2.0,,,,,1.0
98.0,581.324,581.841,0.0,0.0,0.0,100.0,,,1.0,,,78.0,2.5,1.0,78.0,130.9813,1.0,359482.5219,131.4819,2.0,,,,,1.0
