Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
279.0,948.218,953.74,954.241,1.0,948.218,952.222,952.781,1.0,0.559,948.218,954.241,20.0,2.75,1.25,20.0,1.5177,1.0,181890.8191,165.7465,159.7044,163.7278,181565.9267,4.0,2.0
280.0,955.525,961.047,961.549,1.0,955.525,959.529,960.117,1.0,0.588,955.525,961.549,21.0,1.25,2.25,21.0,1.5178,1.0,181898.1264,173.0539,167.0131,171.0351,181558.6468,4.0,2.0
281.0,963.833,969.355,969.857,1.0,963.833,967.837,968.341,0.0,0.504,963.833,969.857,22.0,3.75,2.0,22.0,1.5179,0.0,181906.4347,181.3622,175.3205,179.3433,181550.2549,4.0,2.0
282.0,971.891,977.413,977.915,1.0,971.891,975.895,976.558,0.0,0.663,971.891,977.915,23.0,2.75,1.5,23.0,1.5179,0.0,181914.4927,189.4202,183.3789,187.4013,181542.3557,4.0,2.0
283.0,979.449,984.971,985.473,1.0,979.449,983.453,983.806,0.0,0.353,979.449,985.473,24.0,3.25,1.75,24.0,1.518,0.0,181922.0502,196.9777,190.9368,194.9588,181534.4883,4.0,2.0
284.0,987.257,992.779,993.281,1.0,987.257,991.261,992.005,1.0,0.744,987.257,993.281,25.0,2.5,3.0,25.0,1.5179,1.0,181929.8582,204.7856,198.7446,202.7667,181527.0716,4.0,2.0
285.0,996.316,1001.838,1002.34,1.0,996.316,1000.32,1000.893,1.0,0.573,996.316,1002.34,26.0,3.5,3.75,26.0,1.5177,1.0,181938.9171,213.8445,207.8025,211.8258,181517.8426,4.0,2.0
286.0,1006.109,1011.631,1012.132,1.0,1006.109,1010.113,1010.509,1.0,0.396,1006.109,1012.132,27.0,2.5,1.25,27.0,1.5177,1.0,181948.7101,223.6376,217.6113,221.6189,181507.8562,4.0,2.0
287.0,1013.416,1018.955,1019.457,1.0,1013.416,1017.437,1018.341,0.0,0.904,1013.416,1019.457,28.0,1.25,1.75,28.0,1.5179,0.0,181956.0342,230.9617,224.9042,228.9428,181501.072,4.0,2.0
288.0,1021.241,1026.763,1027.265,1.0,1021.241,1025.245,1026.125,0.0,0.88,1021.241,1027.265,29.0,3.5,1.75,29.0,1.518,0.0,181963.8418,238.7693,232.7284,236.7506,181493.2235,4.0,2.0
289.0,1029.049,1034.588,1035.088,1.0,1029.049,1033.069,1033.654,1.0,0.585,1029.049,1035.088,30.0,3.25,1.5,30.0,1.5178,0.0,181971.6662,246.5936,240.5361,244.5752,181485.1203,4.0,2.0
290.0,1224.846,1224.862,1224.846,1.0,1224.846,1224.862,,1.0,,1224.846,1224.862,1.0,3.25,1.25,1.0,0.017269,0.0,182161.4233,0.81921,,,,5.0,2.0
291.0,1225.663,1225.68,1225.663,1.0,1225.663,1225.68,,1.0,,1225.663,1225.68,2.0,2.25,3.5,2.0,0.83479,0.0,182162.2403,1.6362,,,,5.0,2.0
292.0,1226.48,1226.497,1226.48,1.0,1226.48,1226.497,,1.0,,1226.48,1226.497,3.0,3.25,3.75,3.0,1.6522,0.0,182163.0575,2.4535,,,,5.0,2.0
293.0,1227.298,1227.315,1227.298,1.0,1227.298,1227.315,,1.0,,1227.298,1227.315,4.0,2.75,1.0,4.0,2.4698,1.0,182163.8756,3.2716,,,,5.0,2.0
294.0,1228.117,1228.132,1228.117,1.0,1228.117,1228.132,,1.0,,1228.117,1228.132,5.0,3.5,3.75,5.0,3.2873,0.0,182164.6967,4.0935,,,,5.0,2.0
295.0,1228.933,1228.949,1228.933,1.0,1228.933,1228.949,,1.0,,1228.933,1228.949,6.0,3.0,3.25,6.0,4.1048,1.0,182165.51,4.9059,,,,5.0,2.0
296.0,1229.75,1229.767,1229.75,1.0,1229.75,1229.767,,1.0,,1229.75,1229.767,7.0,3.0,2.0,7.0,4.9221,1.0,182166.3275,5.7234,,,,5.0,2.0
297.0,1230.567,1230.584,1230.567,1.0,1230.567,1230.584,,1.0,,1230.567,1230.584,8.0,2.75,1.5,8.0,5.7395,1.0,182167.1445,6.5404,,,,5.0,2.0
298.0,1231.385,1231.402,1231.385,1.0,1231.385,1231.402,,1.0,,1231.385,1231.402,9.0,3.0,1.0,9.0,6.557,0.0,182167.9622,7.3581,,,,5.0,2.0
299.0,1232.203,1232.219,1232.203,1.0,1232.203,1232.219,,1.0,,1232.203,1232.219,10.0,1.75,1.0,10.0,7.3745,1.0,182168.7798,8.1758,,,,5.0,2.0
300.0,1233.02,1233.037,1233.02,1.0,1233.02,1233.037,,1.0,,1233.02,1233.037,11.0,1.25,3.25,11.0,8.192,0.0,182169.5973,8.9933,,,,5.0,2.0
